"","community","species","family","Taxon","code","year_analisis","oil_type","oil_type_mg","oil_type_PER","PERoil"
"167","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C18.0",0.25,0.76,3.265
"168","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C18.1n7c",0.55,1.7,3.265
"169","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C18.1n9c",6.03,18.46,3.265
"170","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C18.2n6c",19.45,59.56,3.265
"171","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C18.3n3",1.93,5.92,3.265
"172","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C18.3n6",0,0,3.265
"173","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C18.4n3",0,0,3.265
"174","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C20.0",0.04,0.14,3.265
"175","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C20.1n9",0.17,0.53,3.265
"176","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C20.2n6",0,0,3.265
"177","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C22.0",0.06,0.17,3.265
"178","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C22.1n9",0,0,3.265
"179","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C22.2n6",0,0,3.265
"180","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C24.0",0,0,3.265
"181","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C12.0",0,0,19.685
"182","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C14.0",0.12,0.06,19.685
"183","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C15.0",0,0,19.685
"184","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C16.0",14.07,7.15,19.685
"185","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C16.1n7",0.16,0.08,19.685
